Formación,1,2,3,4,5,6
L,Rca301,Ma301,Mb301,Mc301,Md301,Rcb301
M,Rca302,Ma302,Mb302,Mc302,Md302,Rcb302
N,Rca304,Ma303,Mb303,Mc303,Md303,Rcb303
S,Rca308,Ma308,Mb308,Mc308,Md308,Rcb308
